Neighborhood,Year,Income_Over_100000
Greenpoint_and_Williamsburg,2005,548855
Greenpoint_and_Williamsburg,2006,603289
Greenpoint_and_Williamsburg,2007,648295
Greenpoint_and_Williamsburg,2008,721891
Greenpoint_and_Williamsburg,2009,715130
Greenpoint_and_Williamsburg,2010,695212
Greenpoint_and_Williamsburg,2011,709946
Greenpoint_and_Williamsburg,2012,742165
Greenpoint_and_Williamsburg,2013,801969
Greenpoint_and_Williamsburg,2014,828264
Greenpoint_and_Williamsburg,2015,879589
Greenpoint_and_Williamsburg,2016,922966
Greenpoint_and_Williamsburg,2017,997298
Greenpoint_and_Williamsburg,2018,1058142
Greenpoint_and_Williamsburg,2019,1157217