Neighborhood,Year,Income_Under_150000
Greenpoint_and_Williamsburg,2005,610236
Greenpoint_and_Williamsburg,2006,573443
Greenpoint_and_Williamsburg,2007,530119
Greenpoint_and_Williamsburg,2008,513729
Greenpoint_and_Williamsburg,2009,538657
Greenpoint_and_Williamsburg,2010,520060
Greenpoint_and_Williamsburg,2011,534457
Greenpoint_and_Williamsburg,2012,537163
Greenpoint_and_Williamsburg,2013,516082
Greenpoint_and_Williamsburg,2014,530439
Greenpoint_and_Williamsburg,2015,530439
Greenpoint_and_Williamsburg,2016,485729
Greenpoint_and_Williamsburg,2017,486335
Greenpoint_and_Williamsburg,2018,462963
Greenpoint_and_Williamsburg,2019,441031